"ADMINISTRADOR ",1
"ADMINISTRADOR DE EDIFICIO ",2
"ADMINISTRADOR DE EXPLORACAO AGRICOLA ",3
"ADMINISTRADORES ",4
"ADVOGADO ",5
"ADVOGADO DIREITO DO TRABALHO ",6
"AGENCIADOR DE PROPAGANDA ",7
"AGENTE ADMINISTRATIVO ",8
"AGENTE DE COMPRAS ",9
"AGENTE DE VENDA DE SERVICOS AS EMPRESAS ",10
"AGENTE DE VIAGEM ",11
"AGENTE PUBLICITARIO ",12
"AGENTE TECNICO DE VENDAS ",13
"AGENTES ADMINISTRATIVOS ",14
"AGENTES DE ADMINISTRACAO DE EMPRESAS PUBLICAS E PRIVADAS ",15
"ALMOXARIFE ",16
"ANALISTA DE CARGOS E SALARIOS ",17
"ANALISTA DE COMERCIALIZACAO ",18
"ANALISTA DE COMUNICACA 8234    ANALISTA DE CREDITO E COBRANCA ",19
"ANALISTA DE IMPORTACAO E EXPORTACAO ",20
"ANALISTA DE OCUPACAO ",21
"ANALISTA DE ORGANIZACAO E METODOS ",22
"ANALISTA DE PESQUISA DE MERCADO ",23
"ANALISTA DE RECURSOS HUMANOS ",24
"ANALISTA DE SEGUROS ",25
"ANALISTA DE SISTEMAS ",26
"ANALISTA DE SUPORTE DE SISTEMA ",27
"APONTADOR DE MAO DE OBRA ",28
"APONTADOR DE PRODUCAO ",29
"ARQUITETO ",30
"ARQUIVISTA ",31
"ASSISTENTE ADMINISTRATIVO ",32
"ASSISTENTE DE PATRIMONIO ",33
"ASSISTENTE DE VENDAS FINANCEIRO ",34
"ASSISTENTE SOCIAL ",35
"ATENDETE DE ENFERMAGEM ",36
"ATLETA PROFISSIONAL DE FUTEBOL ",37
"AUDITOR CONTABIL ",38
"AUDITOR GERAL ",39
"AUXILIAR DE ALMOXARIFADO ",40
"AUXILIAR DE BIBLIOTECA ",41
"AUXILIAR DE CONTABILIDADE ",42
"AUXILIAR DE ENFERMAGEM ",43
"AUXILIAR DE ESCRITORIO ",44
"AUXILIAR DE FARMACIA ",45
"AUXILIAR DE IMPORTACAO E EXPORTACAO ",46
"AUXILIAR DE LABORATORIO DE ANALISES CLINICAS ",47
"AUXILIAR DE LABORATORIO DE ANALISES FISICOQUIMICAS ",48
"AUXILIAR DE PESSOAL ",49
"AUXILIAR DE SEGUROS ",50
"AUXILIAR DE SERVICOS JURIDICOS ",51
"AUXILIARES DE CONTABILIDADE ",52
"AUXILIARES DE ESCRITORIO ",53
"BABA ",54
"BARMAN ",55
"BIBLIOTECARIO ",56
"BIOLOGISTA ",57
"BIOQUIMICO ",58
"CABELEIREIRO ",59
"CARTEIRO ",60
"CHEFE DE ADMINISTRATIVOS ",61
"CHEFE DE ALMOXARIFADO ",62
"CHEFE DE CONTABILIDADE ",63
"CHEFE DE CONTABILIDADE E FINANCAS ",64
"CHEFE DE CONTAS A PAGAR ",65
"CHEFE DE CONTROLE DE PATRIMONIO ",66
"CHEFE DE ESCRITORIO ",67
"CHEFE DE ESCRITORIO CONTABILIDADE ",68
"CHEFE DE ESCRITORIO CREDITO E COBRANCA ",69
"CHEFE DE ESCRITORIO ORCAMENTO ",70
"CHEFE DE ESCRITORIO PESSOAL ",71
"CHEFE DE ESCRITORIO SERVICOS GERAIS ",72
"CHEFE DE ESCRITORIO TESOURARIA ",73
"CHEFE DE RECEPCAO HOTEL ",74
"CHEFE DE SERVICO DE TRANSPORTE RODOVIARIO ",75
"CHEFE DE SERVICOS DE TELECOMUNICACOES ",76
"CIRURGIAO ",77
"CIRURGIAO DENTISTA ",78
"CODIFICADOR DE DADOS ",79
"COMERCIANTE VAREJISTA ",80
"COMISSARIO DE BORDO AERONAVES ",81
"COMPRADOR COMERCIO ATACADISTA E VAREJISTA ",82
"CONDUTOR DE CAMINHAO BASCULANTE ",83
"CONDUTORES DE AUTOMOVEIS ",84
"CONSULTOR JURIDICO ",85
"CONTADOR ",86
"CONTRAMESTRE DE EMBARCACAO ",87
"CONTRAMESTRE INDUSTRIA TEXTIL ",88
"COORDENADOR DE ENSINO ",89
"CORRESPONDENTE COMERCIAL ",90
"COZINHEIRO CHEFE ",91
"CRONOANALISTA ",92
"DATILOGRAFO ",93
"DEMONSTRADOR ",94
"DESENHISTA ",95
"DESENHISTA PROJETISTA ",96
"DESENHISTA TECNICO ",97
"DESPACHANTE ",98
"DIAGRAMADOR ",99
"DIGITADOR ",100
"DIRETOR DE EMPRESA ",101
"DIRETOR DE EMPRESA DE COMERCIO VAREJISTA ",102
"DIRETOR DE EMPRESA DE COMUNICACOES ",103
"DIRETOR DE EMPRESA DE CONSTRUCAO CIVIL ",104
"DIRETOR DE EMPRESA DE PRESTACAO DE SERVICOS ",105
"DIRETOR DE EMPRESA DE SERVICOS CLINICOS E HOSPITALARES ",106
"DIRETOR DE EMPRESA FINANCEIRA ",107
"DIRETOR DE EMPRESA MANUFATUREIRA ",108
"DIRETOR DE ESTABELECIMENTO DE ENSINO ",109
"DIRETOR DE ESTABELECIMENTO DE ENSINO SUPERIOR ",110
"DIRETORES DE EMPRESAS ",111
"ECONOMISTA ",112
"ECONOMISTA MERCADOLOGIA ",113
"ECONOMISTA PROGRAMACAO ECONOMICO FINANCEIRA ",114
"ECONOMISTAS ",115
"EDITOR DE LIVROS ",116
"ENCARREGADO DE DIGITACAO E OPERACAO ",117
"ENFERMEIRO ",118
"ENFERMEIRO DO TRABALHO ",119
"ENFERMEIROS ",120
"ENGENHEIRO AERONAUTICO ",121
"ENGENHEIRO AGRONOMO ",122
"ENGENHEIRO CIVIL ",123
"ENGENHEIRO DE CONTROLE DE QUALIDADE ",124
"ENGENHEIRO DE MANUTENCAO ELETRICIDADE E ELETRONICA ",125
"ENGENHEIRO DE MINAS ",126
"ENGENHEIRO DE ORGANIZACAO E METODOS ",127
"ENGENHEIRO DE SEGURANCA DO TRABALHO ",128
"ENGENHEIRO DE TELECOMUNICACOES ",129
"ENGENHEIRO DE TRAFEGO ",130
"ENGENHEIRO ELETRICISTA ",131
"ENGENHEIRO ELETRONICO ",132
"ENGENHEIRO MECANICO ",133
"ENGENHEIRO QUIMICO ",134
"ENGENHEIROS ",135
"ESCRITURARIO ",136
"ESCRIVAO ",137
"ESTATISTICO ",138
"ESTETICISTA ",139
"FARMACEUTICO ",140
"FISIOTERAPEUTA ",141
"FONOAUDIOLOGO ",142
"FUNCIONARIO PUBLICO ESTADUAL SUPERIOR ",143
"FUNCIONARIO PUBLICO FEDERAL SUPERIOR ",144
"FUNCIONARIO PUBLICO MUNICIPAL SUPERIOR ",145
"FUNCIONARIO PUBLICO SUPERIOR ",146
"GEOLOGO ",147
"GERENTE ADMINISTRATIVO ",148
"GERENTE COMERCIAL ",149
"GERENTE DE BANCO ",150
"GERENTE DE BAR ",151
"GERENTE DE COMPRA ",152
"GERENTE DE  EMPRESAS ",153
"GERENTE DE HOTEL ",154
"GERENTE DE INFORMATICA ",155
"GERENTE DE LOJA ",156
"GERENTE DE MARKETING ",157
"GERENTE DE OPERACAO ",158
"GERENTE DE PESQUISA E DESENVOLVIMENTO ",159
"GERENTE DE PESSOAL ",160
"GERENTE DE PLANEJAMENTO ",161
"GERENTE DE POSTAL E TELECOMUNICACOES ",162
"GERENTE DE PRODUCAO ",163
"GERENTE DE PROPAGANDA ",164
"GERENTE DE RESTAURANTE ",165
"GERENTE DE RH ",166
"GERENTE DE TRANSPORTE ",167
"GERENTE DE VENDAS ",168
"GERENTE EXECUTIVO ",169
"GERENTE FINANCEIRO ",170
"GERENTE OPERACIONAL ",171
"INSPETOR DE PRODUCAO ",172
"INSPETOR DE QUALIDADE ",173
"INSPETOR DE	SERVICOS DE TRANSPORTE ",174
"INSPETOR TECNICO DE VENDAS ",175
"INSTRUTOR DE APRENDIZAGEM E TREINAMENTO ",176
"JORNALISTA ",177
"LABORATORISTA ANALISES CLINICAS ",178
"LABORATORISTA INDUSTRIAL ",179
"LOCUTOR ",180
"MAITRE ",181
"MEDICO ",182
"MEDICO ANESTESISTA ",183
"MEDICO CARDIOLOGISTA ",184
"MEDICO DO TRABALHO ",185
"MEDICO GINECOLOGISTA ",186
"MEDICO ORTOPEDISTA ",187
"MEDICO PEDIATRA ",188
"MEDICO PSIQUIATRA ",189
"MEDICO VETERINARIO ",190
"MESTRE CONTRUCAO CIVIL ",191
"MESTRE INDUSTRIAL ",192
"MOTOCICLISTA TRANSPORTE DE MERCADORIAS ",193
"MOTORISTA ",194
"MOTORISTA DE CAMINHAO ",195
"MOTORISTA DE FURGAO OU VEICULO SIMILAR ",196
"MOTORISTA DE ONIBUS ",197
"MOTORISTA DE TAXI ",198
"MUSICO ",199
"NUTRICIONISTA ",200
"OPERADOR DE CAMERA DE TELEVISAO ",201
"OPERADOR DE COMPUTADOR ",202
"OPERADOR DE EQUIPAMENTOS DE ENTRADA DE DADOS ",203
"OPERADOR DE ESTACAO DE RADIO ",204
"OPERADOR DE MAQUINAS E VEICULOS ",205
"OPERADOR DE MICRO ",206
"OPERADOR DE PRODUTOS FINANCEIROS ",207
"OPERADOR DE RAIOS X ",208
"OPERADOR DE TELEMARKETING ",209
"ORIENTADOR EDUCACIONAL ",210
"OURIVES ",211
"PEDAGOGO ",212
"PILOTO ",213
"PINTOR ",214
"PRODUTOR DE RADIO E TELEVISAO ",215
"PROFESSOR DE 1A A 4A SERIE ENSINO DE 1O GRAU ",216
"PROFESSOR DE ADMINISTRACAO ENSINO SUPERIOR ",217
"PROFESSOR DE ALUNOS COM DEFICENCIAS MENTAIS ",218
"PROFESSOR DE BIOLOGIA ENSINO DE 2O GRAU ",219
"PROFESSOR DE CIENCIAS NATURAIS ENSINO DE 1O GRAU ",220
"PROFESSOR DE COMUNICACAO ",221
"PROFESSOR DE CONTABILIDADE ENSINO SUPERIOR ",222
"PROFESSOR DE DIDATICA ENSINO SUPERIOR ",223
"PROFESSOR DE DIREITO ",224
"PROFESSOR DE ECONOMIA ",225
"PROFESSOR DE EDUCACAO FISICA ",226
"PROFESSOR DE ENFERMAGEM ",227
"PROFESSOR DE ENSINO PRE ESCOLAR ",228
"PROFESSOR DE ESTATISTICA ",229
"PROFESSOR DE ESTUDOS SOCIAIS ENSINO DE 1O GRAU ",230
"PROFESSOR DE FISICA ",231
"PROFESSOR DE FISIOTERAPIA ENSINO SUPERIOR ",232
"PROFESSOR DE HISTORIA ",233
"PROFESSOR DE INGLES ",234
"PROFESSOR DE LINGUA PORTUGUESA ",235
"PROFESSOR DE LINGUAS ESTRANGEIRAS ",236
"PROFESSOR DE MATEMATICA ",237
"PROFESSOR DE ORIENTACAO EDUCACIONAL ENSINO SUPERIOR ",238
"PROFESSOR DE PEDAGOGIA ",239
"PROFESSOR DE PORTUGUES E LITERATURA ",240
"PROFESSOR DE PRATICA DE ENSINO ENSINO SUPERIOR ",241
"PROFESSOR DE PSICOLOGIA ",242
"PROFESSOR DE QUIMICA ",243
"PROFESSOR DE SOCIOLOGIA ",244
"PROFESSOR DE TECNOLOGIA ",245
"PROFESSORES ",246
"PROFESSORES DE BIOLOGIA ",247
"PROFESSORES DE CIENCIAS HUMANAS ",248
"PROFESSORES DE ENSINO DE 2O GRAU ",249
"PROFESSORES DE ENSINO DE PRIMEIRO GRAU ",250
"PROFESSORES DE ENSINO ESPECIAL ",251
"PROFESSORES DE ENSINO PRE ESCOLAR ",252
"PROFESSORES DE ENSINO SUPERIOR ",253
"PROFESSORES DE PEDAGOGIA ",254
"PROFESSSOR DE GEOGRAFIA ",255
"PROGRAMADOR DE COMPUTADOR ",256
"PROPAGANDISTA DE PRODUTOS DE LABORATORIO ",257
"PSICOLOGO ",258
"QUIMICO ",259
"QUIMICO ANALISTA ",260
"QUIMICO INDUSTRIAL ",261
"RECEPCIONISTA ",262
"REDATOR ",263
"RELACOES PUBLICAS ",264
"REPORTER ",265
"REPRESENTANTE COMERCIAL ",266
"SECRETARIO ",267
"SECRETARIO BILINGUE ",268
"SECRETARIO EXECUTIVO ",269
"SERVENTUARIOS DA JUSTICA ",270
"SOCIOLOGO ",271
"SUPERVISOR DE COMPRAS ",272
"SUPERVISOR DE VENDAS COMERCIO ATACADISTA ",273
"SUPERVISOR DE VENDAS COMERCIO VAREJISTA ",274
"SUPERVISOR EDUCACIONAL ",275
"SUPERVISORES DE COMPRAS E COMPRADORES ",276
"SUPERVISORES DE VENDAS ",277
"TECNICO ",278
"TECNICO AGRICOLA ",279
"TECNICO AGROPECUARIO ",280
"TECNICO DE ADMINISTRACAO ",281
"TECNICO DE CONTABILIDADE ",282
"TECNICO DE ENFERMAGEM ",283
"TECNICO DE LABORATORIO ",284
"TECNICO DE MANUTENCAO ELETRICA ",285
"TECNICO DE MANUTENCAO ELETRONICA ",286
"TECNICO DE OBRAS CIVIS ",287
"TECNICO DE PLANEJAMENTO DE PRODUCAO ",288
"TECNICO DE SEGURANCA DO TRABALHO ",289
"TECNICO DE SEGUROS ",290
"TECNICO DE TELECOMUNICACOES ",291
"TECNICO ELETRONICO ",292
"TECNICO MECANICO ",293
"TECNICO MECANICO MAQUINAS ",294
"TECNICO METALURGICO ",295
"TECNICO QUIMICO ",296
"TECNICOS DE BIOLOGIA  ",297
"TECNICOS DE ELETRICIDADE ",298
"TECNICOS DE ENFERMAGEM ",299
"TECNICOS DE OBRAS CIVIS ",300
"TERAPEUTA OCUPACIONAL ",301
"TOPOGRAFO ",302
"TRABALHADORES DAS PROFISSOES CIENTIFICAS ",303
"TRABALHADORES DE COMERCIO ",304
"TRABALHADORES DE SERVICOS ADMINISTRATIVOS ",305
"TRABALHADORES DE SERVICOS DE CONTABILIDADE ",306
"TRABALHADORES DE SERVICOS DE TURISMO ",307
"VENDEDOR A DOMICILIO ",308
"VENDEDOR AMBULANTE ",309
"VENDEDOR DE COMERCIO ATACADISTA ",310
"VENDEDOR DE COMERCIO VAREJISTA ",311
"VENDEDOR PRACISTA ",312
"VENDEDORES DE COMERCIO ATACADISTA E VAREJISTA ",313
"VENDEDORES PRACISTAS ",314
"VEREADOR ",315
"ZOOTECNISTA",316
